SEGMENT,INSTITUTION,YEAR_FALL_TERM,STUDENT_CNT,FEMALE_CNT,FEMALE_PCT,MALE_CNT,MALE_PCT,UNKNGENDER_CNT,UNKNGENDER_PCT,AMERIND_CNT,AMERIND_PCT,AAPI_CNT,AAPI_PCT,AFRAMER_CNT,AFRAMER_PCT,HISPLAT_CNT,HISPLAT_PCT,USNONRES_CNT,USNONRES_PCT,MULTIRACE_CNT,MULTIRACE_PCT,UNKNRACE_CNT,UNKNRACE_PCT,WHITE_CNT,WHITE_PCT
Community Colleges,Berkshire Community College,2024,1845,1215,0.66,602,0.33,28,0.02,8,0,30,0.02,147,0.08,264,0.14,16,0.01,106,0.06,78,0.04,1196,0.65
Community Colleges,Berkshire Community College,2023,1607,1051,0.65,537,0.33,19,0.01,8,0,31,0.02,122,0.08,198,0.12,26,0.02,82,0.05,42,0.03,1098,0.68
Community Colleges,Berkshire Community College,2022,1366,918,0.67,448,0.33,0,0,9,0.01,30,0.02,129,0.09,153,0.11,4,0,68,0.05,52,0.04,921,0.67
Community Colleges,Berkshire Community College,2021,1427,954,0.67,473,0.33,0,0,8,0.01,31,0.02,134,0.09,160,0.11,1,0,50,0.04,65,0.05,978,0.69
Community Colleges,Berkshire Community College,2020,1482,1011,0.68,471,0.32,0,0,13,0.01,22,0.01,143,0.1,114,0.08,3,0,55,0.04,79,0.05,1053,0.71
Community Colleges,Berkshire Community College,2019,1627,1044,0.64,583,0.36,0,0,20,0.01,30,0.02,138,0.08,151,0.09,6,0,58,0.04,110,0.07,1114,0.68
Community Colleges,Berkshire Community College,2018,1688,1097,0.65,591,0.35,0,0,11,0.01,39,0.02,136,0.08,128,0.08,6,0,49,0.03,90,0.05,1229,0.73
Community Colleges,Berkshire Community College,2017,1847,1151,0.62,696,0.38,0,0,15,0.01,41,0.02,136,0.07,156,0.08,3,0,32,0.02,88,0.05,1376,0.74
Community Colleges,Berkshire Community College,2016,1959,1212,0.62,747,0.38,0,0,12,0.01,36,0.02,129,0.07,171,0.09,3,0,33,0.02,66,0.03,1509,0.77
Community Colleges,Berkshire Community College,2015,2120,1279,0.6,840,0.4,1,0,7,0,43,0.02,149,0.07,151,0.07,6,0,32,0.02,60,0.03,1672,0.79
